"pruid","prname","prnameFR","date","numconf","numprob","numdeaths","numtotal","numtested","numrecover","percentrecover","ratetested","numtoday","percentoday"
11,"Prince Edward Island","Île-du-Prince-Édouard","18-04-2020",26,0,0,26,2086,"23","88.46",NA,0,0
60,"Yukon","Yukon","18-04-2020",9,0,0,9,859,"8","88.89",NA,0,0
61,"Northwest Territories","Territoires du Nord-Ouest","18-04-2020",5,0,0,5,1459,"3","60.00",NA,0,0
62,"Nunavut","Nunavut","18-04-2020",0,0,0,0,304,"0","N/A",NA,0,0
99,"Repatriated travellers","Voyageurs rapatriés","18-04-2020",13,0,NA,13,76,"","",NA,0,0
1,"Canada","Canada","18-04-2020",33341,13,1467,33354,528057,"11178","33.51",NA,1470,0.046
59,"British Columbia","Colombie-Britannique","19-04-2020",1618,0,78,1618,54778,"966","59.70",NA,0,0
48,"Alberta","Alberta","19-04-2020",2562,0,51,2562,97180,"1162","45.36",NA,0,0
47,"Saskatchewan","Saskatchewan","19-04-2020",314,1,4,315,22759,"234","74.29",NA,2,0.006
46,"Manitoba","Manitoba","19-04-2020",245,8,5,253,19634,"143","56.52",NA,0,0
35,"Ontario","Ontario","19-04-2020",10578,0,553,10578,148106,"5209","49.24",NA,568,0.057
24,"Quebec","Québec","19-04-2020",18357,0,877,18357,163548,"3555","19.37",NA,836,0.048
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","19-04-2020",257,0,3,257,6128,"191","74.32",NA,0,0
13,"New Brunswick","Nouveau-Brunswick","19-04-2020",118,0,0,118,10290,"92","77.97",NA,0,0
12,"Nova Scotia","Nouvelle-Écosse","19-04-2020",675,0,9,675,22029,"200","29.63",NA,26,0.04
11,"Prince Edward Island","Île-du-Prince-Édouard","19-04-2020",26,0,0,26,2239,"23","88.46",NA,0,0
60,"Yukon","Yukon","19-04-2020",9,0,0,9,878,"8","88.89",NA,0,0
61,"Northwest Territories","Territoires du Nord-Ouest","19-04-2020",5,0,0,5,1476,"3","60.00",NA,0,0
62,"Nunavut","Nunavut","19-04-2020",0,0,0,0,304,"0","N/A",NA,0,0
99,"Repatriated travellers","Voyageurs rapatriés","19-04-2020",13,0,NA,13,76,"","",NA,0,0
1,"Canada","Canada","19-04-2020",34777,9,1580,34786,549349,"11786","33.88",NA,1432,0.043
59,"British Columbia","Colombie-Britannique","20-04-2020",1699,0,86,1699,55779,"1039","61.15",NA,81,0.05
48,"Alberta","Alberta","20-04-2020",2908,0,59,2908,100898,"1230","42.30",NA,346,0.135
47,"Saskatchewan","Saskatchewan","20-04-2020",316,0,4,316,22759,"238","75.32",NA,1,0.003
46,"Manitoba","Manitoba","20-04-2020",246,8,6,254,19924,"143","56.30",NA,1,0.004
35,"Ontario","Ontario","20-04-2020",11184,0,584,11184,148106,"5515","49.31",NA,606,0.057
24,"Quebec","Québec","20-04-2020",19319,0,939,19319,167801,"3847","19.91",NA,962,0.052
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","20-04-2020",257,0,3,257,6233,"191","74.32",NA,0,0
13,"New Brunswick","Nouveau-Brunswick","20-04-2020",118,0,0,118,10492,"98","83.05",NA,0,0
12,"Nova Scotia","Nouvelle-Écosse","20-04-2020",721,0,9,721,22669,"248","34.40",NA,46,0.068
11,"Prince Edward Island","Île-du-Prince-Édouard","20-04-2020",26,0,0,26,2239,"23","88.46",NA,0,0
60,"Yukon","Yukon","20-04-2020",11,0,0,11,878,"8","72.73",NA,2,0.222
61,"Northwest Territories","Territoires du Nord-Ouest","20-04-2020",5,0,0,5,1495,"5","100.00",NA,0,0
62,"Nunavut","Nunavut","20-04-2020",0,0,0,0,305,"0","N/A",NA,0,0
99,"Repatriated travellers","Voyageurs rapatriés","20-04-2020",13,0,NA,13,76,"","",NA,0,0
1,"Canada","Canada","20-04-2020",36823,8,1690,36831,559578,"12585","34.17",NA,2045,0.059
59,"British Columbia","Colombie-Britannique","21-04-2020",1724,0,87,1724,56526,"1041","60.38",NA,25,0.015
48,"Alberta","Alberta","21-04-2020",3095,0,61,3095,104370,"1273","41.13",NA,187,0.064
47,"Saskatchewan","Saskatchewan","21-04-2020",320,0,4,320,23554,"252","78.75",NA,4,0.013
46,"Manitoba","Manitoba","21-04-2020",246,9,6,255,20328,"150","58.82",NA,1,0.004
35,"Ontario","Ontario","21-04-2020",11735,0,622,11735,148106,"5806","49.48",NA,551,0.049
24,"Quebec","Québec","21-04-2020",20126,0,1041,20126,171520,"4048","20.11",NA,807,0.042
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","21-04-2020",257,0,3,257,6383,"194","75.49",NA,0,0
13,"New Brunswick","Nouveau-Brunswick","21-04-2020",118,0,0,118,10799,"102","86.44",NA,0,0
12,"Nova Scotia","Nouvelle-Écosse","21-04-2020",737,0,10,737,23261,"286","38.81",NA,16,0.022
11,"Prince Edward Island","Île-du-Prince-Édouard","21-04-2020",26,0,0,26,2330,"23","88.46",NA,0,0
60,"Yukon","Yukon","21-04-2020",11,0,0,11,872,"8","72.73",NA,0,0
61,"Northwest Territories","Territoires du Nord-Ouest","21-04-2020",5,0,0,5,1509,"5","100.00",NA,0,0
62,"Nunavut","Nunavut","21-04-2020",0,0,0,0,320,"0","N/A",NA,0,0
99,"Repatriated travellers","Voyageurs rapatriés","21-04-2020",13,0,NA,13,76,"","",NA,0,0
1,"Canada","Canada","21-04-2020",38413,9,1834,38422,569878,"13188","34.32",NA,1591,0.043
59,"British Columbia","Colombie-Britannique","22-04-2020",1795,0,90,1795,57499,"1079","60.11",NA,71,0.041
48,"Alberta","Alberta","22-04-2020",3401,0,66,3401,108521,"1310","38.52",NA,306,0.099
47,"Saskatchewan","Saskatchewan","22-04-2020",326,0,4,326,24008,"261","80.06",NA,6,0.019
46,"Manitoba","Manitoba","22-04-2020",246,11,6,257,20651,"154","59.92",NA,2,0.008
35,"Ontario","Ontario","22-04-2020",12245,0,659,12245,178467,"6221","50.80",NA,510,0.043
24,"Quebec","Québec","22-04-2020",20965,0,1134,20965,176048,"4291","20.47",NA,839,0.042
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","22-04-2020",256,0,3,256,6655,"199","77.73",NA,-1,-0.004
13,"New Brunswick","Nouveau-Brunswick","22-04-2020",118,0,0,118,11121,"104","88.14",NA,0,0
12,"Nova Scotia","Nouvelle-Écosse","22-04-2020",772,0,12,772,24155,"330","42.75",NA,35,0.047
11,"Prince Edward Island","Île-du-Prince-Édouard","22-04-2020",26,0,0,26,2344,"24","92.31",NA,0,0
60,"Yukon","Yukon","22-04-2020",11,0,0,11,878,"8","72.73",NA,0,0
61,"Northwest Territories","Territoires du Nord-Ouest","22-04-2020",5,0,0,5,1512,"5","100.00",NA,0,0
62,"Nunavut","Nunavut","22-04-2020",0,0,0,0,333,"0","N/A",NA,0,0
99,"Repatriated travellers","Voyageurs rapatriés","22-04-2020",13,0,NA,13,76,"","",NA,0,0
1,"Canada","Canada","22-04-2020",40179,11,1974,40190,612192,"13986","34.80",NA,1768,0.046
59,"British Columbia","Colombie-Britannique","23-04-2020",1824,0,94,1824,58848,"1092","59.87",NA,29,0.016
48,"Alberta","Alberta","23-04-2020",3720,0,67,3720,112562,"1357","36.48",NA,319,0.094
47,"Saskatchewan","Saskatchewan","23-04-2020",331,0,4,331,24504,"270","81.57",NA,5,0.015
46,"Manitoba","Manitoba","23-04-2020",251,11,6,262,21229,"174","66.41",NA,5,0.019
35,"Ontario","Ontario","23-04-2020",12879,0,713,12879,188377,"6680","51.87",NA,634,0.052
24,"Quebec","Québec","23-04-2020",21838,0,1243,21838,180833,"4484","20.53",NA,873,0.042
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","23-04-2020",256,0,3,256,6862,"205","80.08",NA,0,0
13,"New Brunswick","Nouveau-Brunswick","23-04-2020",118,0,0,118,11616,"104","88.14",NA,0,0
12,"Nova Scotia","Nouvelle-Écosse","23-04-2020",827,0,16,827,24884,"358","43.29",NA,55,0.071
11,"Prince Edward Island","Île-du-Prince-Édouard","23-04-2020",26,0,0,26,2466,"24","92.31",NA,0,0
60,"Yukon","Yukon","23-04-2020",11,0,0,11,881,"8","72.73",NA,0,0
61,"Northwest Territories","Territoires du Nord-Ouest","23-04-2020",5,0,0,5,1515,"5","100.00",NA,0,0
62,"Nunavut","Nunavut","23-04-2020",0,0,0,0,340,"0","N/A",NA,0,0
99,"Repatriated travellers","Voyageurs rapatriés","23-04-2020",13,0,NA,13,76,"","",NA,0,0
1,"Canada","Canada","23-04-2020",42099,11,2146,42110,634917,"14761","35.05",NA,1920,0.048
59,"British Columbia","Colombie-Britannique","24-04-2020",1853,0,98,1853,60472,"1114","60.12",NA,29,0.016
48,"Alberta","Alberta","24-04-2020",4017,0,72,4017,116859,"1397","34.78",NA,297,0.08
47,"Saskatchewan","Saskatchewan","24-04-2020",341,0,4,341,25141,"280","82.11",NA,10,0.03
46,"Manitoba","Manitoba","24-04-2020",252,11,6,263,21720,"196","74.52",NA,1,0.004
35,"Ontario","Ontario","24-04-2020",13519,0,763,13519,200270,"7087","52.42",NA,640,0.05
24,"Quebec","Québec","24-04-2020",22616,0,1340,22616,185632,"4724","20.89",NA,778,0.036
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","24-04-2020",256,0,3,256,7105,"207","80.86",NA,0,0
13,"New Brunswick","Nouveau-Brunswick","24-04-2020",118,0,0,118,11908,"107","90.68",NA,0,0
12,"Nova Scotia","Nouvelle-Écosse","24-04-2020",850,0,16,850,25658,"392","46.12",NA,23,0.028
11,"Prince Edward Island","Île-du-Prince-Édouard","24-04-2020",26,0,0,26,2564,"24","92.31",NA,0,0
60,"Yukon","Yukon","24-04-2020",11,0,0,11,888,"8","72.73",NA,0,0
61,"Northwest Territories","Territoires du Nord-Ouest","24-04-2020",5,0,0,5,1537,"5","100.00",NA,0,0
62,"Nunavut","Nunavut","24-04-2020",0,0,0,0,354,"0","N/A",NA,0,0
99,"Repatriated travellers","Voyageurs rapatriés","24-04-2020",13,0,NA,13,76,"","",NA,0,0
1,"Canada","Canada","24-04-2020",43877,11,2302,43888,660108,"15541","35.41",NA,1778,0.042
59,"British Columbia","Colombie-Britannique","25-04-2020",1948,0,100,1948,63039,"1137","58.37",NA,95,0.051
48,"Alberta","Alberta","25-04-2020",4233,0,73,4233,121244,"1471","34.75",NA,216,0.054
47,"Saskatchewan","Saskatchewan","25-04-2020",347,2,4,349,25697,"288","82.52",NA,8,0.023
46,"Manitoba","Manitoba","25-04-2020",256,11,6,267,21720,"199","74.53",NA,4,0.015
35,"Ontario","Ontario","25-04-2020",13995,0,811,13995,210502,"7509","53.65",NA,476,0.035
24,"Quebec","Québec","25-04-2020",23267,0,1446,23267,190765,"5057","21.73",NA,651,0.029
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","25-04-2020",257,0,3,257,7332,"208","80.93",NA,1,0.004
13,"New Brunswick","Nouveau-Brunswick","25-04-2020",118,0,0,118,12279,"107","90.68",NA,0,0
12,"Nova Scotia","Nouvelle-Écosse","25-04-2020",865,0,22,865,26320,"412","47.63",NA,15,0.018
11,"Prince Edward Island","Île-du-Prince-Édouard","25-04-2020",26,0,0,26,2564,"24","92.31",NA,0,0
60,"Yukon","Yukon","25-04-2020",11,0,0,11,894,"8","72.73",NA,0,0
61,"Northwest Territories","Territoires du Nord-Ouest","25-04-2020",5,0,0,5,1554,"5","100.00",NA,0,0
62,"Nunavut","Nunavut","25-04-2020",0,0,0,0,361,"0","N/A",NA,0,0
99,"Repatriated travellers","Voyageurs rapatriés","25-04-2020",13,0,NA,13,76,"","",NA,0,0
1,"Canada","Canada","25-04-2020",45341,13,2465,45354,684271,"16425","36.22",NA,1466,0.033
59,"British Columbia","Colombie-Britannique","26-04-2020",1948,0,100,1948,64700,"1137","58.37",NA,0,0
48,"Alberta","Alberta","26-04-2020",4480,0,73,4480,125310,"1549","34.58",NA,247,0.058
47,"Saskatchewan","Saskatchewan","26-04-2020",353,0,4,353,25697,"288","81.59",NA,4,0.011
46,"Manitoba","Manitoba","26-04-2020",260,11,6,271,21720,"199","73.43",NA,4,0.015
35,"Ontario","Ontario","26-04-2020",14432,0,835,14432,222129,"8000","55.43",NA,437,0.031
24,"Quebec","Québec","26-04-2020",24107,0,1515,24107,195577,"5342","22.16",NA,840,0.036
10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","26-04-2020",258,0,3,258,7440,"219","84.88",NA,1,0.004
13,"New Brunswick","Nouveau-Brunswick","26-04-2020",118,0,0,118,12525,"111","94.07",NA,0,0
12,"Nova Scotia","Nouvelle-Écosse","26-04-2020",873,0,24,873,26871,"439","50.29",NA,8,0.009
11,"Prince Edward Island","Île-du-Prince-Édouard","26-04-2020",26,0,0,26,2688,"24","92.31",NA,0,0
60,"Yukon","Yukon","26-04-2020",11,0,0,11,908,"8","72.73",NA,0,0
61,"Northwest Territories","Territoires du Nord-Ouest","26-04-2020",5,0,0,5,1575,"5","100.00",NA,0,0
62,"Nunavut","Nunavut","26-04-2020",0,0,0,0,368,"0","N/A",NA,0,0
99,"Repatriated travellers","Voyageurs rapatriés","26-04-2020",13,0,NA,13,76,"","",NA,0,0
1,"Canada","Canada","26-04-2020",46884,11,2560,46895,707508,"17321","36.94",NA,1541,0.034
59,"British Columbia","Colombie-Britannique","27-04-2020",1998,0,103,1998,67289,"1190","59.56",NA,50,0.026
48,"Alberta","Alberta","27-04-2020",4696,0,75,4696,128860,"1664","35.43",NA,216,0.048
